Comment,Designator,Footprint,LCSC
115K,R8,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,C137806
10nF 50V X7R 0603,"C3,C4",C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,C15195
1uF_25V,C1,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,C15849
10uF X5R 0805,"C2,C5",C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C15850
TPS7A4901DGNR,U2,MSOP-8-1EP_3x3mm_P0.65mm_EP1.73x1.85mm,C16430
LED_0402,D1,LED_0402_1005Metric,C165979
JST-B2B-PH,J2,JST_PH_S2B-PH-K_1x02_P2.00mm_Horizontal,C173752
15.4K,R7,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,C185370
1K,"R1,R6",R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,C21190
10K,"R2,R3,R4,R5",R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,C25804
Polyfuse,F1,Fuse_0603_1608Metric_Pad1.05x0.95mm_HandSolder,C261935
GT-USB-7010ASV,J1,USB-C-GT-USB-7010ASV,C2988369
DSHP03TS-S,SW1,SW-SMD_DSHP03TS-S,C319051
CH224K,U1,ESSOP-10_L4.9-W3.9-P1.0-LS6.0-TL-EP,C970725
